project_name,designer_contributors,all_contributors,proportion
akka/akka,60,125,0.32432432432432434
antirez/redis,49,245,0.16666666666666666
ariya/phantomjs,42,125,0.25149700598802394
AutoMapper/AutoMapper,13,63,0.17105263157894737
bartaz/impress.js,27,112,0.19424460431654678
bitcoin/bitcoin,116,227,0.33819241982507287
boto/boto,74,398,0.15677966101694915
Bukkit/CraftBukkit,204,348,0.3695652173913043
cakephp/cakephp,130,341,0.2760084925690021
chriseppstein/compass,74,265,0.2182890855457227
codeguy/Slim,42,113,0.2709677419354839
diaspora/diaspora,171,334,0.33861386138613864
divio/django-cms,100,269,0.27100271002710025
django-debug-toolbar/django-debug-toolbar,27,121,0.18243243243243243
django/django,141,731,0.16169724770642202
elasticsearch/elasticsearch,74,171,0.3020408163265306
EllisLab/CodeIgniter,182,489,0.27123695976154993
facebook/hiphop-php,34,105,0.2446043165467626
facebook/tornado,74,226,0.24666666666666667
FortAwesome/Font-Awesome,24,95,0.20168067226890757
ginatrapani/ThinkUp,40,103,0.27972027972027974
github/android,18,56,0.24324324324324326
gitlabhq/gitlabhq,243,598,0.28894173602853745
h5bp/html5-boilerplate,150,323,0.3171247357293869
hadley/devtools,20,33,0.37735849056603776
harvesthq/chosen,56,227,0.1978798586572438
hbons/SparkleShare,34,115,0.22818791946308725
imathis/octopress,89,350,0.20273348519362186
JakeWharton/ActionBarSherlock,47,123,0.27647058823529413
jkbr/httpie,7,37,0.1590909090909091
joyent/http-parser,15,52,0.22388059701492538
joyent/libuv,53,134,0.28342245989304815
joyent/node,252,746,0.25250501002004005
jquery/jquery,144,413,0.2585278276481149
keithw/mosh,20,44,0.3125
kennethreitz/requests,140,356,0.28225806451612906
kr/beanstalkd,16,45,0.26229508196721313
libgit2/libgit2,95,177,0.3492647058823529
mangos/MaNGOS,50,93,0.34965034965034963
mbostock/d3,63,160,0.2825112107623318
midgetspy/Sick-Beard,91,285,0.24202127659574468
mitsuhiko/flask,55,235,0.1896551724137931
mojombo/jekyll,123,350,0.26004228329809725
mongodb/mongo,33,247,0.11785714285714285
mono/mono,68,298,0.18579234972677597
moxiecode/plupload,25,81,0.2358490566037736
mrdoob/three.js,129,297,0.3028169014084507
mxcl/homebrew,1086,3969,0.21483679525222552
NancyFx/Nancy,67,164,0.29004329004329005
nathanmarz/storm,38,89,0.2992125984251969
netty/netty,56,115,0.32748538011695905
openframeworks/openFrameworks,75,115,0.39473684210526316
plataformatec/devise,105,376,0.2182952182952183
rails/rails,1230,2517,0.32826261008807045
ravendb/ravendb,6,119,0.048
reddit/reddit,38,145,0.20765027322404372
restsharp/RestSharp,30,125,0.1935483870967742
robey/kestrel,4,25,0.13793103448275862
rstudio/shiny,8,13,0.38095238095238093
SamSaffron/MiniProfiler,12,94,0.11320754716981132
sbt/sbt,38,87,0.304
scala/scala,86,167,0.33992094861660077
scalatra/scalatra,15,55,0.21428571428571427
sebastianbergmann/phpunit,58,155,0.27230046948356806
ServiceStack/ServiceStack,38,178,0.17592592592592593
SignalR/SignalR,44,88,0.3333333333333333
symfony/symfony,584,1027,0.36250775915580385
thoughtbot/paperclip,88,282,0.23783783783783785
TrinityCore/TrinityCore,164,331,0.33131313131313134
twitter/finagle,26,104,0.2
twitter/gizzard,5,18,0.21739130434782608
twitter/zipkin,8,18,0.3076923076923077
vmg/redcarpet,16,62,0.20512820512820512
xbmc/xbmc,189,363,0.3423913043478261
yihui/knitr,20,31,0.39215686274509803
zendframework/zf2,213,646,0.2479627473806752
zurb/foundation,126,430,0.22661870503597123
